departures_scheduled,departures_performed,payload,seats,passengers,freight,mail,distance,ramp_to_ramp,air_time,unique_carrier,airline_id,unique_carrier_name,region,carrier,carrier_name,carrier_group,carrier_group_new,origin_airport_id,origin_city_market_id,origin,origin_city_name,origin_country,origin_country_name,dest_airport_id,dest_city_market_id,dest,dest_city_name,dest_country,dest_country_name,aircraft_group,aircraft_type,aircraft_config,year,month,distance_group,class,data_source,row_num
0,1,1800,9,1,0,0,837,120,114,3EQ,21974,"Scott Aviation, LLC  d/b/a  Silver Air",D,3EQ,"Scott Aviation, LLC  d/b/a  Silver Air",1,1,13796,32457,OAK,"Oakland, CA",US,United States,11503,31503,EGE,"Eagle, CO",US,United States,6,774,1,2019,11,2,L,DU,1
0,1,4589,19,2,0,0,5121,0,0,HYP,22062,Hyperion Aviation Ltd. dba Hyperion,I,HYP,Hyperion Aviation Ltd. dba Hyperion,0,0,12278,30928,ICT,"Wichita, KS",US,United States,13625,33625,NCE,"Nice, France",FR,France,6,658,1,2019,11,11,L,IF,1
0,30,3749999,8670,7449,173450,0,4812,0,0,TK,19821,Turk Hava Yollari A.O.,I,TK,Turk Hava Yollari A.O.,0,0,16858,32395,IST,"Istanbul, Turkey",TR,Turkey,10721,30721,BOS,"Boston, MA",US,United States,6,696,1,2019,11,10,F,IF,1
0,2,2700,12,6,0,0,23,40,31,H6,20336,Hageland Aviation Service,D,H6,Hageland Aviation Service,1,5,12709,32709,KKI,"Akiachak, AK",US,United States,15257,35257,TLT,"Tuluksak, AK",US,United States,0,35,3,2019,11,1,F,DU,1
1,1,24100,50,47,0,0,288,81,52,ZW,20046,Air Wisconsin Airlines Corp,D,ZW,Air Wisconsin Airlines Corp,2,2,12264,30852,IAD,"Washington, DC",US,United States,11042,30647,CLE,"Cleveland, OH",US,United States,6,629,1,2019,11,1,F,DU,1
0,4,193160,732,371,0,0,3388,0,0,VR,19804,Transportes Aereos De Cabo,I,VR,Transportes Aereos De Cabo,0,0,14451,34451,RAI,"Praia, Cape Verde",CV,Cape Verde,10721,30721,BOS,"Boston, MA",US,United States,6,622,1,2019,11,7,F,IF,1
0,31,2968739,9007,7226,313185,0,2001,0,0,KE,19550,Korean Air Lines Co. Ltd.,I,KE,Korean Air Lines Co. Ltd.,0,0,12277,31945,ICN,"Seoul, South Korea",KR,South Korea,12016,32016,GUM,"Guam, TT",US,United States,6,637,1,2019,11,5,F,IF,1
0,1,2803,14,5,0,0,3646,0,0,12Q,21423,Unijet,I,12Q,Unijet,0,0,12900,30920,LBG,"Paris, France",FR,France,11618,31703,EWR,"Newark, NJ",US,United States,7,775,1,2019,11,8,L,IF,1
48,35,146300,315,182,0,0,152,3850,3325,3BQ,21944,"Nealco Air Charter Services, Inc.  d/b/a  Watermakers Air",D,3BQ,"Nealco Air Charter Services, Inc.  d/b/a  Watermakers Air",1,6,10916,30916,CCZ,"Chub Cay, The Bahamas",BS,The Bahamas,11827,32467,FXE,"Fort Lauderdale, FL",US,United States,4,415,1,2019,11,1,F,IU,1
0,8,2112000,0,0,1683326,0,6178,0,0,7L,21694,Silk Way West Airlines,I,7L,Silk Way West Airlines,0,0,10482,30482,GYD,"Baku, Azerbaijan",AZ,Azerbaijan,13930,30977,ORD,"Chicago, IL",US,United States,8,820,2,2019,11,13,G,IF,1
0,1,1850,6,5,0,0,39,34,30,K3,20383,Venture Travel LLC d/b/a Taquan Air Service,D,K3,Venture Travel LLC d/b/a Taquan Air Service,1,5,12253,32253,HYL,"Hollis, AK",US,United States,15741,31401,WFB,"Ketchikan, AK",US,United States,0,40,4,2019,11,1,L,DU,1
1,1,5829,9,0,0,0,183,74,62,3DQ,21964,"Rectrix Aviation, Inc.",D,3DQ,"Rectrix Aviation, Inc.",1,6,12250,32250,HYA,"Hyannis, MA",US,United States,12197,31703,HPN,"White Plains, NY",US,United States,4,458,1,2019,11,1,F,DU,1
0,1,2704,12,1,0,0,3980,0,0,GEQ,22020,"Gestair, S.A.",I,GEQ,"Gestair, S.A.",0,0,13156,31584,MAD,"Madrid, Spain",ES,Spain,14492,34492,RDU,"Raleigh/Durham, NC",US,United States,6,788,1,2019,11,8,L,IF,1
0,30,1499982,4500,3643,60650,0,1574,0,0,BW,19542,Caribbean Airlines Limited,I,BW,Caribbean Airlines Limited,0,0,12693,32693,KIN,"Kingston, Jamaica",JM,Jamaica,12478,31703,JFK,"New York, NY",US,United States,6,614,1,2019,11,4,F,IF,1
0,13,961057,3731,3320,40093,0,7769,0,0,MF,21770,"Xiamen Airlines Co., Ltd.",I,MF,"Xiamen Airlines Co., Ltd.",0,0,12478,31703,JFK,"New York, NY",US,United States,11724,31724,FOC,"Fuzhou, China",CN,China,6,889,1,2019,11,16,F,IF,1
0,1,36036,180,44,26,0,204,0,0,VB,21342,"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",I,VB,"Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",0,0,13559,33559,MXL,"Mexicali, Mexico",MX,Mexico,12892,32575,LAX,"Los Angeles, CA",US,United States,6,694,1,2019,11,1,L,IF,1
0,17,1319076,4960,2988,316263,0,6365,0,0,SV,19624,Saudi Arabian Airlines Corp,I,SV,Saudi Arabian Airlines Corp,0,0,12472,32472,JED,"Jeddah, Saudi Arabia",SA,Saudi Arabia,12478,31703,JFK,"New York, NY",US,United States,6,627,1,2019,11,13,F,IF,1
0,1,5977,12,2,0,0,3874,0,0,WGT,22061,Volkswagen AirSevice GmbH dba Volkswagon,I,WGT,Volkswagen AirSevice GmbH dba Volkswagon,0,0,16321,36321,ZRH,"Zurich, Switzerland",CH,Switzerland,11728,31728,FOK,"Westhampton, NY",US,United States,7,775,1,2019,11,8,L,IF,1
0,1,2427,12,2,0,0,4718,0,0,TEQ,22016,TAG Aviation (Malta) Ltd.,I,TEQ,TAG Aviation (Malta) Ltd.,0,0,13936,31454,ORL,"Orlando, FL",US,United States,12026,32026,GVA,"Geneva, Switzerland",CH,Switzerland,6,658,1,2019,11,10,L,IF,1
0,1,250000,0,0,246402,0,264,98,45,KAQ,20370,Kalitta Air LLC,D,KAQ,Kalitta Air LLC,2,2,11193,33105,CVG,"Cincinnati, OH",US,United States,13930,30977,ORD,"Chicago, IL",US,United States,8,819,2,2019,11,1,P,DU,1
0,18,1461240,4878,3754,107822,0,5282,0,0,AR,19535,Aerolineas Argentinas,I,AR,Aerolineas Argentinas,0,0,12478,31703,JFK,"New York, NY",US,United States,11625,30181,EZE,"Ezeiza, Argentina",AR,Argentina,6,696,1,2019,11,11,F,IF,1
0,1,41006,189,15,0,0,1849,263,238,09Q,21161,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",I,09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",2,2,12010,32010,GUA,"Guatemala City, Guatemala",GT,Guatemala,10466,30466,AZA,"Phoenix, AZ",US,United States,6,614,1,2019,11,4,L,IU,1
0,1,19092,70,59,0,0,452,185,137,YX,20452,Republic Airline,D,YX,Republic Airline,3,3,10792,30792,BUF,"Buffalo, NY",US,United States,12339,32337,IND,"Indianapolis, IN",US,United States,6,677,1,2019,11,1,F,DU,1
0,1,21405,0,0,0,0,1139,176,162,AMQ,20201,Ameristar Air Cargo,D,AMQ,Ameristar Air Cargo,1,4,12878,32878,LAF,"Lafayette, IN",US,United States,13061,33038,LRD,"Laredo, TX",US,United States,6,635,2,2019,11,3,P,DU,1
0,8,27210,128,77,1324,0,71,0,0,PH,19562,Polynesian Airlines Ltd.,I,PH,Polynesian Airlines Ltd.,0,0,14222,34222,PPG,"Pago Pago, TT",US,United States,13826,33826,OFU,"Ofu, TT",US,United States,4,485,1,2019,11,1,F,DF,1
0,16,1275439,4494,3065,165000,0,6603,0,0,LY,19558,El Al Israel Airlines Ltd.,I,LY,El Al Israel Airlines Ltd.,0,0,13303,32467,MIA,"Miami, FL",US,United States,15258,35258,TLV,"Tel Aviv, Israel",IL,Israel,6,889,1,2019,11,14,F,IF,1
0,27,2593166,6645,5386,444242,0,5487,0,0,SK,19571,Scandinavian Airlines Sys.,I,SK,Scandinavian Airlines Sys.,0,0,14771,32457,SFO,"San Francisco, CA",US,United States,11118,31118,CPH,"Copenhagen, Denmark",DK,Denmark,8,873,1,2019,11,11,F,IF,1
0,1,43560,176,0,0,0,2733,0,0,G3,21605,VRG Linhas Aereas S A,I,G3,VRG Linhas Aereas S A,0,0,13303,32467,MIA,"Miami, FL",US,United States,14004,34004,PAE,"Everett, WA",US,United States,6,614,1,2019,11,6,F,DF,1
48,48,1061680,3648,3186,0,0,444,5001,3628,OH,20397,PSA Airlines Inc.,D,OH,PSA Airlines Inc.,2,2,11278,30852,DCA,"Washington, DC",US,United States,10994,30994,CHS,"Charleston, SC",US,United States,6,638,1,2019,11,1,F,DU,1
0,21,1062268,4200,2531,0,0,1134,0,0,RV,21610,Air Canada rouge LP,I,RV,Air Canada rouge LP,0,0,14986,34986,SRQ,"Sarasota/Bradenton, FL",US,United States,16271,36106,YYZ,"Toronto, Canada",CA,Canada,6,699,1,2019,11,3,F,IF,1
0,1,31200,156,94,0,0,530,0,0,BCQ,19855,Bradley Air Services Ltd.,I,BCQ,Bradley Air Services Ltd.,0,0,16217,36083,YUL,"Montreal, Canada",CA,Canada,11433,31295,DTW,"Detroit, MI",US,United States,6,617,1,2019,12,2,L,IF,1
0,1,1093,5,1,0,0,70,48,42,J5,20337,Kalinin Aviation LLC d/b/a Alaska Seaplanes,D,J5,Kalinin Aviation LLC d/b/a Alaska Seaplanes,1,5,12175,31402,HNS,"Haines, AK",US,United States,12523,32523,JNU,"Juneau, AK",US,United States,0,35,1,2019,12,1,L,DU,1
0,31,940137,4650,4351,0,0,1289,0,0,4O,21578,ABC Aerolineas SA de CV dba Interjet,I,4O,ABC Aerolineas SA de CV dba Interjet,0,0,12889,32211,LAS,"Las Vegas, NV",US,United States,11874,31874,GDL,"Guadalajara, Mexico",MX,Mexico,6,694,1,2019,12,3,F,IF,1
0,52,5516152,19240,15209,535220,0,7305,0,0,PR,19564,Philippine Airlines Inc.,I,PR,Philippine Airlines Inc.,0,0,12892,32575,LAX,"Los Angeles, CA",US,United States,13408,33408,MNL,"Manila, Philippines",PH,Philippines,6,627,1,2019,12,15,F,IF,1
5,5,5500,20,2,420,11,92,280,255,Q5,20342,40-Mile Air,D,Q5,40-Mile Air,1,5,15236,35236,TKJ,"Tok, AK",US,United States,11245,31245,CZN,"Chisana, AK",US,United States,0,35,1,2019,12,1,F,DU,1
0,2,85000,346,0,0,0,21,95,30,GL,20402,Miami Air International,D,GL,Miami Air International,2,2,13303,32467,MIA,"Miami, FL",US,United States,11697,32467,FLL,"Fort Lauderdale, FL",US,United States,6,614,1,2019,12,1,L,DU,1
0,1,260500,213,164,9266,0,6580,0,0,HU,21271,Hainan Airlines Company Limited,I,HU,Hainan Airlines Company Limited,0,0,14066,34066,PEK,"Beijing, China",CN,China,13930,30977,ORD,"Chicago, IL",US,United States,6,887,1,2019,12,14,F,IF,1
51,51,56100,306,37,57,1337,35,1240,1036,GV,20455,Grant Aviation,D,GV,Grant Aviation,1,5,12769,32769,KOT,"Kotlik, AK",US,United States,11550,31550,EMK,"Emmonak, AK",US,United States,0,26,1,2019,12,1,F,DU,1
0,1,2774,14,3,0,0,3497,0,0,JVQ,22057,Prince Aviation,I,JVQ,Prince Aviation,0,0,12026,32026,GVA,"Geneva, Switzerland",CH,Switzerland,10581,30581,BGR,"Bangor, ME",US,United States,7,770,1,2019,12,7,L,IF,1
0,8,1760000,0,0,1438149,0,3266,0,0,CI,19544,China Airlines Ltd.,I,CI,China Airlines Ltd.,0,0,12266,31453,IAH,"Houston, TX",US,United States,10299,30299,ANC,"Anchorage, AK",US,United States,8,820,2,2019,12,7,G,DF,1
62,62,124000,558,108,0,0,126,3100,2790,AAT,19650,Air Sunshine Inc.,D,AAT,Air Sunshine Inc.,1,6,10444,30444,AXA,"The Valley, Anguilla",AI,Anguilla,15024,34945,STT,"Charlotte Amalie, VI",US,United States,1,125,1,2019,12,1,F,IU,1
0,21,2156708,5544,4943,588474,0,3465,0,0,VS,19682,Virgin Atlantic Airways,I,VS,Virgin Atlantic Airways,0,0,11618,31703,EWR,"Newark, NJ",US,United States,12972,30730,LHR,"London, United Kingdom",GB,United Kingdom,6,687,1,2019,12,7,F,IF,1
0,3,3600,18,0,215,1867,31,86,76,3F,21111,"Pacific Airways, Inc.",D,3F,"Pacific Airways, Inc.",1,5,15741,31401,WFB,"Ketchikan, AK",US,United States,12857,32857,KXA,"Kasaan, AK",US,United States,0,40,4,2019,12,1,F,DU,1
